objectId,fid,candid,parent_candid,aimagerat,isdiffpos,clrcounc,sigmapsf,chipsf,mindtoedge,magnr,ssnamenr,sigmagapbig,magap,sigmagap,bimage,elong,ranr,pid,sumrat,ypos,field,bimagerat,nneg,magzpsciunc,magzpscirms,fwhm,distnr,rbversion,dec,tblid,magpsf,magdiff,scorr,programpi,rcid,nid,magzpsci,chinr,ssdistnr,xpos,seeratio,decnr,ra,sigmagnr,magfromlim,sharpnr,pdiffimfilename,programid,sky,nbad,magapbig,diffmaglim,rb,aimage,clrcoeff,classtar,ssmagnr,nframesref,objectidps1,srmag2,jdstarthist,jdendref,distpsnr1,jdstartref,zpmed,zpclrcov,objectidps3,simag3,srmag3,neargaiabright,jdendhist,distpsnr3,sgscore2,nmtchps,dsnrms,maggaiabright,szmag2,clrmed,distpsnr2,nmatches,clrrms,dsdiff,maggaia,exptime,tooflag,drbversion,drb,ndethist,simag2,sgmag3,simag1,sgscore3,szmag1,neargaia,sgmag2,srmag1,ssnrms,sgscore1,szmag3,objectidps2,sgmag1,rfid,ncovhist,mjd,corrected,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,dubious,step_id_corr,has_stamp
ZTF18aaeqhwx,2,1118304121515015074,0,0.6534693,1.0,0.0004506494,0.09080302,31.316135,333.5062,15.122,null,0.0355,16.8693,0.0311,0.609,1.2561576,133.3434238,1118304121515,1.0,333.5062,618,0.5202128,3,0.0003060403,0.160886,1.1706747,0.22057445,t17_f5_c3,23.1419924,74,16.86221,0.00709,16.2720222473145,TESS,15,1118,25.70821,0.297,-999.0,2400.604,2.0,23.142046,133.3434577,0.012,3.129846,-0.006,ztf_20200124304109_000618_zr_c04_o_q4_scimrefdiffimg.fits,1,-1.726004,0,16.8442,19.999146,0.6357143,0.765,0.096643,0.891,-999.0,15.0,1.3577133343432106e+17,-999.0,2458436.0169676,2458427.965093,0.14727327,2458154.734005,25.809,-0.00034127,1.3576133342552483e+17,21.3286,21.6294,-999.0,2458872.8041204,18.665329,0.53781,8.0,94.7795,-999.0,21.2096,0.675,16.911278,523.0,0.32502,-54.092125,15.112069,30.0,0.0,d6_m7,0.96307564,2.0,21.7592,-999.0,15.0495,0.00375,15.0546,0.14311162,-999.0,15.1805,148.87163,0.999167,21.0982,1.357613333916181e+17,15.5379,618120215.0,373.0,58872.30412039999,True,14.922840718715813,0.01148060837654569,0.015217834298440465,False,corr_bulk_0.0.1,False
ZTF18aagzzba,2,988124203415010059,0,0.27272728,-1.0,0.0020873672,0.025877325,46.9185,12.6042,12.735,null,0.0136,13.8098,0.0114,0.755,1.0728477,237.909034,988124203415,1.0,1773.929,721,0.25420874,1,0.0011073549,0.218938,2.97,0.080080695,t17_f5_c3,40.9558016,59,13.892549,-0.082749,8.87487602233887,Kulkarni,34,988,24.48955,0.304,-999.0,3059.8958,0.8168792,40.9558279,237.9090236,0.012,3.9916055,0.024,ztf_20190916124201_000721_zr_c09_o_q3_scimrefdiffimg.fits,1,5.210562,0,13.774,17.801405,0.56,0.81,0.118041,1.0,-999.0,16.0,1.571423790907876e+17,19.0635,2458210.8266551,2458217.966829,0.044403255,2458160.988137,24.634998,-0.0013915,1.571423790431485e+17,21.2899,21.8103,0.04357559,2458742.6242014,13.006372,0.355536,10.0,177.40694,12.707144,18.3477,0.559,8.151566,260.0,0.293448,-127.76195,12.707144,30.0,0.0,d6_m7,0.2660188,16.0,18.6555,22.5874,12.762,0.0,12.68,0.04357559,20.2171,12.911,305.16888,0.968167,20.6958,1.5714237911951818e+17,13.262,721120234.0,1160.0,58742.124201400205,True,13.193293694253995,100.0,0.013589936618769727,False,corr_bulk_0.0.1,False
ZTF18aawaivb,1,535411845715010297,536437635715010191,0.521372,-1.0,0.0,0.214368,11.6285,400.417,14.992,,0.1438,18.8671,0.1224,0.425,1.79765,296.9158823,535411845715,0.533128,2680.08,686,0.29003,11,0.0,0.0,1.46537,1.03575,,36.3153781,297,18.4378,0.429273,6.85183,Kulkarni,57,535,0.0,0.754,,591.456,2.0,36.3156615,296.915976,0.015,1.73836,-0.05,/ztf/archive/sci/2018/0620/411782/ztf_20180620411782_000686_zg_c15_o_q2_scimrefdiffimg.fits.fz,1,1.41725,0,18.9398,20.6055,0.33,0.764,0.0,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58289.411840300076,True,15.038414185477569,100.0,0.009362802233791243,False,corr_bulk_0.0.1,True
ZTF18aawaivb,1,1186487165715010080,0,0.50018954,-1.0,5.4731e-06,0.21016502,13.005939,404.6866,14.992,null,0.121,18.424,0.1008,0.442,1.5248868,296.9158823,1186487165715,0.6388288,2675.8135,686,0.32801747,8,2.7597e-06,0.021463,1.3474891,0.42660993,t17_f5_c3,36.3155665,80,18.03392,0.39008,6.75761032104492,Kulkarni,57,1186,25.98692,0.754,-999.0,692.3385,2.0,36.3156615,296.9157877,0.015,1.9528466,-0.05,ztf_20200401487153_000686_zg_c15_o_q2_scimrefdiffimg.fits,1,-3.534324,0,18.5078,20.376846,0.39142856,0.674,-0.04484,0.993,-999.0,15.0,1.515729691590694e+17,14.5882,2458259.9030208,2458246.969213,0.39348665,2458205.0139,25.958,-3.74e-06,1.515829691507208e+17,17.8158,18.1878,84.15458,2458940.9871644,4.9783287,0.976875,55.0,38.988087,13.145041,13.7242,0.625,3.1091366,1946.0,0.190745,-31.730663,14.199339,30.0,0.0,d6_m7,0.09744233,40.0,14.0042,18.9524,14.0181,0.711917,13.8718,0.3991876,15.7812,14.3059,70.71875,0.979458,17.6506,1.5157296914768906e+17,14.9319,686120157.0,833.0,58940.48716440005,True,15.059995774747092,100.0,0.013582841596949082,False,corr_bulk_0.0.1,False
ZTF18aawaivb,1,536437635715010191,0,0.54820895,-1.0,0.0,0.11642971,7.386989,341.571,14.992,null,0.1203,18.7573,0.1079,0.666,1.1591592,296.9158823,536437635715,0.9465448,2738.929,686,0.47293675,6,0.0,0.0,1.4082222,0.76167804,,36.3154452,191,18.725782,0.031518,5.70776891708374,Kulkarni,57,536,0.0,0.754,-999.0,593.9459,2.0,36.3156615,296.9158581,0.015,2.0092463,-0.05,ztf_20180621437616_000686_zg_c15_o_q2_scimrefdiffimg.fits,1,0.406776,0,18.7868,20.766546,0.6,0.772,0.0,0.019,-999.0,15.0,1.515729691590694e+17,14.5882,2458259.9030208,2458246.969213,0.7061517,2458205.0139,0.0,0.0,1.515829691507208e+17,17.8158,18.1878,0.0,2458290.9376389,5.460377,0.976875,55.0,0.0,0.0,13.7242,0.0,3.230481,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,14.0042,18.9524,14.0181,0.711917,13.8718,0.0,15.7812,14.3059,0.0,0.979458,17.6506,1.5157296914768906e+17,14.9319,686120157.0,28.0,58290.43763889978,True,15.027421897556781,100.0,0.003861176131656689,False,corr_bulk_0.0.1,False
ZTF18aawaivb,1,671161145715010096,674099365715010020,0.83997613,-1.0,2.20345e-05,0.12385945,16.101591,351.492,14.992,null,0.098,17.5888,0.0733,0.894,1.2438478,296.9158823,671161145715,0.9975008,2729.008,686,0.67530453,3,1.11193e-05,0.040875,1.3238472,1.0314987,t8_f5_c3,36.3156997,96,17.597757,-0.008957,5.00052785873413,Kulkarni,57,671,25.588757,0.754,-999.0,582.5204,2.0,36.3156615,296.915528,0.015,1.9913145,-0.05,ztf_20181103161134_000686_zg_c15_o_q2_scimrefdiffimg.fits,1,-1.541407,0,17.7149,19.580114,0.45,1.112,-0.062537,0.984,-999.0,15.0,1.515729691590694e+17,14.5882,2458259.9030208,2458246.969213,1.0670717,2458205.0139,25.545,-1.508e-05,1.515829691507208e+17,17.8158,18.1878,83.2623,2458425.6611458,4.2462726,0.976875,55.0,16.823868,13.145041,13.7242,0.626,2.5870876,1909.0,0.190632,-20.76059,14.199339,30.0,0.0,,0.0,33.0,14.0042,18.9524,14.0181,0.711917,13.8718,1.0714343,15.7812,14.3059,37.584457,0.979458,17.6506,1.5157296914768906e+17,14.9319,686120157.0,426.0,58425.16114579979,True,15.095254001204736,100.0,0.012357420144098562,False,corr_bulk_0.0.1,True
ZTF18aawaivb,2,674099365715010020,0,0.5630416,-1.0,3.9872e-06,0.08848749,20.10397,346.4872,14.264,null,0.1093,18.104,0.0985,0.69,1.1362319,296.9158814,674099365715,0.9896177,2734.0127,686,0.49553412,4,1.9954e-06,0.021962,1.392437,1.5571265,t8_f5_c3,36.3159286,20,18.126892,-0.022893,5.5158052444458,Kulkarni,57,674,26.244892,0.318,-999.0,605.4669,2.0,36.3156574,296.9154532,0.015,2.0072205,-0.017,ztf_20181106099352_000686_zr_c15_o_q2_scimrefdiffimg.fits,1,1.51334,0,18.1138,20.111221,0.46333334,0.784,0.07727,0.853,-999.0,15.0,1.515729691590694e+17,14.5882,2458259.9030208,2458291.819259,1.635063,2458199.016817,26.298,-2.72e-06,1.515829691507208e+17,17.8158,18.1878,82.615814,2458428.5993634,3.3974562,0.976875,55.0,6.413151,13.145041,13.7242,0.625,2.9216118,1917.0,0.188223,-20.831738,14.199339,30.0,0.0,,0.0,13.0,14.0042,18.9524,14.0181,0.711917,13.8718,1.6371105,15.7812,14.3059,27.244888,0.979458,17.6506,1.5157296914768906e+17,14.9319,686120257.0,431.0,58428.099363400135,False,,,,True,corr_bulk_0.0.1,False
ZTF18aazjvtr,2,557228833415015018,0,0.34874827,1.0,0.0,0.15941975,134.46848,519.4446,15.337999,null,0.0765,17.9727,0.0706,0.296,1.2804054,258.1500181,557228833415,0.4060821,1392.1919,634,0.27237332,10,0.0,0.0,1.0867437,0.7923651,,26.691749,18,17.812738,0.159961,6.13447952270508,Kulkarni,34,557,0.0,0.769,-999.0,2553.0554,2.0,26.6919577,258.1499425,0.02,2.2836554,-0.015,ztf_20180712228796_000634_zr_c09_o_q3_scimrefdiffimg.fits,1,0.04873491,0,17.8789,20.256355,0.42,0.379,0.0,0.997,-999.0,19.0,1.4003258150016106e+17,19.1463,2458279.816169,2458219.003762,1.043422,2458158.991806,0.0,0.0,1.400325815249649e+17,18.8461,20.1558,0.0,2458311.728831,14.920761,0.853018,9.0,0.0,0.0,19.0314,0.0,11.876906,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,19.0135,21.2693,14.4765,0.981536,13.9801,0.0,19.3943,15.5263,0.0,0.5,18.2418,1.4003258150905453e+17,16.682,634120234.0,344.0,58311.22883100016,True,15.232196742408464,100.0,0.014802171790227862,False,corr_bulk_0.0.1,False
ZTF18abcceln,1,533402216215010161,0,0.42275003,-1.0,0.0,0.08857361,10.689711,929.2106,14.171,null,0.1589,18.8141,0.1507,0.59,1.079661,294.3037696,533402216215,0.9099776,2151.2893,686,0.3915581,7,0.0,0.0,1.5068007,0.67359704,,35.5925063,161,18.297747,0.516354,7.09152126312256,Kulkarni,62,533,0.0,0.675,-999.0,1566.6213,2.0,35.592695,294.3037534,0.016,1.7065864,-0.025,ztf_20180618402199_000686_zg_c16_o_q3_scimrefdiffimg.fits,1,1.4754,0,18.7607,20.520687,0.49,0.637,0.0,0.996,-999.0,15.0,1.5071294303796186e+17,-999.0,2458287.9022106,2458246.969213,0.6293445,2458205.0139,0.0,0.0,1.5071294301741213e+17,14.8092,14.9644,0.0,2458287.9022106,6.1059165,0.197301,50.0,0.0,0.0,18.3541,0.0,3.7832484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,18.6608,15.4298,13.7336,0.962417,13.7353,0.0,19.3936,13.8441,0.0,0.95325,14.7428,1.5071294304850234e+17,14.1646,686120162.0,36.0,58287.40221060021,True,14.195542365429276,100.0,0.002024988865605147,False,corr_bulk_0.0.1,False
ZTF18abesfgb,1,1065080096215010081,0,0.46337262,-1.0,0.0001266067,0.17228699,4.392428,557.0376,14.971,null,0.257,17.6305,0.22,0.627,1.0223285,316.8529968,1065080096215,0.8301085,2523.4624,731,0.45325217,9,9.46839e-05,0.081849,1.383336,0.25765446,t17_f5_c3,42.6339423,81,17.045166,0.585334,7.30146408081055,Kulkarni,62,1065,24.451166,0.601,-999.0,1794.6024,2.0,42.633973,316.8530861,0.016,0.55471605,-0.022,ztf_20191202080081_000731_zg_c16_o_q3_scimrefdiffimg.fits,1,-0.9207681,0,17.5454,18.185217,0.5057143,0.641,-0.039085,0.988,-999.0,15.0,1.5916316853077142e+17,19.5701,2458331.8659954,2458342.904838,0.1891418,2458230.99213,24.424,-0.00010623,1.5916316852798368e+17,20.814,-999.0,43.600613,2458819.5800926,6.946957,0.653083,46.0,16.909945,13.2552805,18.4907,0.788,5.828376,1196.0,0.209287,-5.1289177,14.252175,30.0,0.0,d6_m7,0.6438362,5.0,18.8805,-999.0,14.0872,0.325792,13.9767,0.19169909,20.8058,14.3626,22.038862,0.994167,20.3065,1.5916316853877315e+17,14.9377,731120162.0,1491.0,58819.08009260008,True,15.144931899560913,0.023309567050356948,0.029933591689776645,False,corr_bulk_0.0.1,False
