objectId,parent_candid,jd,fid,pid,diffmaglim,pdiffimfilename,programpi,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,scorr,magzpsci,magzpsciunc,magzpscirms,clrcoeff,clrcounc,rbversion
ZTF20abrxmhs,1320414845615015038,2459046.8745949,1,1292374595615,21.0915,/ztf/archive/sci/2020/0716/374595/ztf_20200716374595_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1292.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4462,2.49572e-06,0.0159557,-0.0624427,5.93363e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459046.9314583,2,1292431455615,20.7374,/ztf/archive/sci/2020/0716/431412/ztf_20200716431412_000688_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1292.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3591,2.75992e-06,0.0168459,0.0816926,6.57852e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459048.8537616,2,1294353765615,20.7398,/ztf/archive/sci/2020/0718/353762/ztf_20200718353762_000688_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1294.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3702,4.13809e-06,0.0205703,0.0799441,9.85937e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459049.8301736,1,1295330175615,21.1093,/ztf/archive/sci/2020/0719/330174/ztf_20200719330174_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1295.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4275,2.45632e-06,0.0159339,-0.0532282,5.83039e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459050.915706,1,1296415705615,21.1274,/ztf/archive/sci/2020/0720/415706/ztf_20200720415706_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1296.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4218,2.71653e-06,0.0167867,-0.0538166,6.43677e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459052.8784259,2,1298378425615,20.8241,/ztf/archive/sci/2020/0722/378391/ztf_20200722378391_000688_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1298.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3869,2.27671e-06,0.0153044,0.0698576,5.4253e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459052.890787,2,1298390785615,20.8748,/ztf/archive/sci/2020/0722/390729/ztf_20200722390729_000688_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1298.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3817,3.2065e-06,0.01811,0.0724586,7.64123e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459053.8955903,1,1299395595615,21.0685,/ztf/archive/sci/2020/0723/395590/ztf_20200723395590_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1299.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4392,2.55621e-06,0.0162518,-0.0563507,6.05835e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459054.8305093,2,1300330505615,20.7881,/ztf/archive/sci/2020/0724/330509/ztf_20200724330509_000688_zr_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1300.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3488,1.88529e-06,0.0139176,0.0749395,4.48876e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459055.8942593,1,1301394255615,21.1545,/ztf/archive/sci/2020/0725/394248/ztf_20200725394248_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1301.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4082,2.78313e-06,0.0169325,-0.0608211,6.5745e-06,t17_f5_c3
ZTF20abrxmhs,1320414845615015038,2459055.8956597,1,1301395655615,21.0211,/ztf/archive/sci/2020/0725/395648/ztf_20200725395648_000688_zg_c15_o_q1_scimrefdiffimg.fits.fz,Kulkarni,1,,,,1301.0,56.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4052,2.64927e-06,0.0165406,-0.06013,6.25989e-06,t17_f5_c3
