objectId,ndethist,ncovhist,mjdstarthist,mjdendhist,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,step_id_corr,nearZTF,nearPS1,stellar,corrected,ndet,ndubious,g-r_max,g-r_max_corr,g-r_mean,g-r_mean_corr
ZTF18aaeqhwx,2.0,373.0,58435.51696760021,58872.30412039999,133.3434577,23.1419924,,,58872.30412039999,58872.30412039999,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18aagzzba,16.0,1160.0,58210.3266551001,58742.124201400205,237.9090236,40.9558016,,,58742.124201400205,58742.124201400205,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18aawaivb,40.0,833.0,58259.40302080009,58940.48716440005,296.9157206,36.315603620000005,0.00022205592763826644,0.00021919023016652602,58289.411840300076,58940.48716440005,651.0753240999766,corr_bulk_0.0.1,False,False,False,False,5,1,-0.5291347503662109,,0.07192230224609375,
ZTF18aazjvtr,4.0,344.0,58279.31616900023,58311.22883100016,258.1499425,26.691749,,,58311.22883100016,58311.22883100016,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abcceln,1.0,36.0,58287.40221060021,58287.40221060021,294.3037534,35.5925063,,,58287.40221060021,58287.40221060021,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abesfgb,7.0,2352.0,58331.36599540012,59074.328865699936,316.8529400333333,42.63390483333333,0.0001409474180851765,7.640658784814115e-05,58305.40892359987,59074.328865699936,768.9199421000667,corr_bulk_0.0.1,True,True,True,True,6,0,0.8435897827148438,0.735838492950089,1.2503900527954102,0.9120336715802395
ZTF18abfcxuv,1.0,44.0,58306.40387730021,58306.40387730021,324.279182,64.6459992,,,58306.40387730021,58306.40387730021,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abiahbu,3.0,1381.0,58317.3802894,59082.338090300094,5.2491928,49.3400604,,,59082.338090300094,59082.338090300094,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abpytwp,1.0,105.0,58355.38640049985,58355.38640049985,73.8555758,52.7226735,,,58355.38640049985,58355.38640049985,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abrezhx,1.0,785.0,58721.424374999944,58721.424374999944,35.733454,30.3721133,,,58721.424374999944,58721.424374999944,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18absjecg,30.0,3281.0,58363.19840280013,59076.30292819999,276.20726011666665,72.6680224,0.0001352075363260963,6.74143901544839e-05,58708.2260532002,59076.30292819999,368.0768749997951,corr_bulk_0.0.1,True,False,True,True,12,0,0.4650249481201172,0.06786785611587298,1.1625356674194336,0.18400658619159316
ZTF18absluff,1.0,37.0,58363.50932870014,58363.50932870014,69.8248352,66.9663656,,,58363.50932870014,58363.50932870014,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18abturvf,1.0,46.0,58368.20758099994,58368.20758099994,266.6899846,9.486761,,,58368.20758099994,58368.20758099994,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18abxdcet,1.0,28.0,58379.24929400021,58379.24929400021,277.7163095,14.0125546,,,58379.24929400021,58379.24929400021,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18abxhaom,6.0,222.0,58379.413935199846,58872.14777779998,33.8111518,-18.1767495,0.00013081009135362522,7.983370215567714e-05,58735.48077550018,58872.14777779998,136.66700229980052,corr_bulk_0.0.1,True,True,True,True,4,0,1.6779327392578125,0.9149851129886191,1.9426307678222656,0.9460897378944519
ZTF18abxwusr,47.0,1062.0,58305.328599500004,59059.39084490016,299.1606124052632,43.05362884736842,6.193820822302594e-05,8.531313802940597e-05,58381.133541699965,59059.39084490016,678.2573032001965,corr_bulk_0.0.1,True,False,True,True,19,0,0.4646110534667969,0.2774902444730536,0.4324054718017578,0.5612274262742929
ZTF18abzdoos,1.0,574.0,58811.41335650021,58811.41335650021,84.3022032,26.5173485,,,58811.41335650021,58811.41335650021,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18abzxtwi,1.0,81.0,58389.30795140006,58389.30795140006,8.8454155,5.3869787,,,58389.30795140006,58389.30795140006,0.0,corr_bulk_0.0.1,True,False,False,True,1,0,,,,
ZTF18acihcqc,3.0,288.0,58435.07399309985,59041.296076400205,318.343643,6.101819900000001,4.511341265442329e-05,3.464823227795959e-05,58978.46034719981,59041.296076400205,62.83572920039296,corr_bulk_0.0.1,True,True,True,True,2,0,,,,
ZTF18acitebt,12.0,1072.0,58435.10282409983,59026.266307900194,275.00499222857144,73.70823662857143,0.0006527037835401734,0.00018607420306663045,58435.10282409983,59026.266307900194,591.1634838003665,corr_bulk_0.0.1,False,False,False,False,7,5,1.3749237060546875,0.851940039085596,1.8190898895263672,0.3401289826066787
ZTF18acjdzdq,3.0,299.0,58435.128911999986,58683.29396989988,300.09737785,18.0607946,0.00023822427456712713,0.00010125769106599917,58469.12131940015,58683.29396989988,214.17265049973503,corr_bulk_0.0.1,True,True,True,True,2,0,,,,
ZTF18acjfhlo,4.0,563.0,58425.13215279998,58666.467719899956,304.0000898,40.3386489,,,58666.467719899956,58666.467719899956,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18acowtxa,2.0,130.0,58104.4496065001,58439.29641199997,104.2591256,32.9551701,,,58439.29641199997,58439.29641199997,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18acplped,4.0,387.0,58103.51581020001,58602.219270799775,173.5161843,48.8027407,,,58602.219270799775,58602.219270799775,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18acpoxkv,1.0,55.0,58440.51751160016,58440.51751160016,116.0797227,56.3664489,,,58440.51751160016,58440.51751160016,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18acqbdpx,6.0,853.0,58284.42793980008,58956.47682869993,327.6007802333333,51.26678353333333,0.0002380306983068626,1.3112716475011548e-05,58442.24825230008,58956.47682869993,514.2285763998516,corr_bulk_0.0.1,True,True,True,True,3,0,,,,
ZTF18acqpprh,1.0,137.0,58442.50978010008,58442.50978010008,201.7800201,23.9405162,,,58442.50978010008,58442.50978010008,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF18acrmkew,1.0,36.0,58449.46613429999,58449.46613429999,153.8257009,7.1854712,,,58449.46613429999,58449.46613429999,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF18acwekbm,3.0,92.0,58466.29722219985,58742.52347220015,103.09724295000001,-11.92914435,1.2798632733289408e-05,8.449926035198488e-05,58466.29722219985,58742.52347220015,276.226250000298,corr_bulk_0.0.1,True,True,True,True,2,0,,,,
ZTF18adaypiv,1.0,170.0,58480.42629629979,58480.42629629979,121.9788458,42.1936016,,,58480.42629629979,58480.42629629979,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aaafgeq,1.0,470.0,58486.50980320014,58486.50980320014,201.6488896,37.5285168,,,58486.50980320014,58486.50980320014,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aaaiotl,1.0,121.0,58487.21386570018,58487.21386570018,102.0066387,2.9270127,,,58487.21386570018,58487.21386570018,0.0,corr_bulk_0.0.1,True,True,True,True,1,0,,,,
ZTF19aaaqgic,5.0,69.0,58307.20748839993,58572.45776619995,232.88920575,16.7598318,0.00015110871915195717,9.1923881548259e-06,58487.548726900015,58572.45776619995,84.9090392999351,corr_bulk_0.0.1,True,False,False,True,2,1,,,,
ZTF19aaauadq,1.0,171.0,58488.1272454001,58488.1272454001,358.1260511,-16.4809253,,,58488.1272454001,58488.1272454001,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aaawhgf,3.0,122.0,58434.2943519,58803.209120399784,18.8828313,-25.62769225,3.252691193535951e-05,5.635641046097158e-05,58488.148611099925,58803.209120399784,315.0605092998594,corr_bulk_0.0.1,True,True,True,True,2,0,,,,
ZTF19aadjrow,1.0,148.0,58495.222997699864,58495.222997699864,104.8226929,32.5806647,,,58495.222997699864,58495.222997699864,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aaerbjp,22.0,69.0,58439.51084489981,58914.16342590004,123.24731446999999,-14.75338346,7.987143906104561e-05,7.311330932206456e-05,58509.273842600174,58914.16342590004,404.8895832998678,corr_bulk_0.0.1,True,False,False,True,10,0,1.6555309295654297,1.401387752560428,1.4583816528320312,59.67771352633562
ZTF19aakmruu,1.0,289.0,58538.20344909979,58538.20344909979,113.745932,39.9086501,,,58538.20344909979,58538.20344909979,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aalizct,1.0,178.0,58543.225833300035,58543.225833300035,117.7240042,-25.3641629,,,58543.225833300035,58543.225833300035,0.0,corr_bulk_0.0.1,True,False,True,True,1,0,,,,
ZTF19aamwwqq,2.0,267.0,58438.16318289982,58561.42398149986,296.8616013,38.129074,,,58561.42398149986,58561.42398149986,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
ZTF19aanjaot,1.0,183.0,58568.18656249996,58568.18656249996,57.0074049,28.9306503,,,58568.18656249996,58568.18656249996,0.0,corr_bulk_0.0.1,False,False,False,False,1,0,,,,
