objectId,classALeRCE
ZTF17aaaorfd,E
ZTF17aaawcwz,LPV
ZTF17aaawthq,Periodic-Other
ZTF17aabtcvm,E
ZTF17aacrzxm,E
ZTF17aaczczd,E
ZTF18aabfcrd,E
ZTF18aabgisf,Periodic-Other
ZTF18aabneie,E
ZTF18aabtufv,CV/Nova
ZTF18aagqmbs,E
ZTF18aajtwnn,E
ZTF18aakjslv,Periodic-Other
ZTF18aapwyja,Periodic-Other
ZTF18aaueblh,E
ZTF18aavegdh,DSCT
ZTF18aavejan,DSCT
ZTF18aavpvaz,Periodic-Other
ZTF18aavqleu,LPV
ZTF18aawvazr,E
ZTF18aaxnamv,Periodic-Other
ZTF18aaxzgzl,AGN
ZTF18aaypolo,E
ZTF18aazsbvd,YSO
ZTF18aazvicy,LPV
ZTF18abakefj,Periodic-Other
ZTF18abbeots,Periodic-Other
ZTF18abbsoxj,LPV
ZTF18abbubuz,Periodic-Other
ZTF18abckilg,Periodic-Other
ZTF18abcmcpk,E
ZTF18abcpkbm,LPV
ZTF18abcpviv,RRL
ZTF18abcsqav,YSO
ZTF18abctblj,RRL
ZTF18abcvzhe,YSO
ZTF18abdeiun,RRL
ZTF18abdkagv,YSO
ZTF18abdlfxa,LPV
ZTF18abeaxuy,YSO
ZTF18abeazhs,LPV
ZTF18abeixbw,Periodic-Other
ZTF18abfasam,YSO
ZTF18abflnom,LPV
ZTF18abgrkxu,Periodic-Other
ZTF18abhesjs,YSO
ZTF18abinapo,LPV
ZTF18abitctw,LPV
ZTF18abixhqm,LPV
ZTF18abjadad,RRL
ZTF18abjtaja,Periodic-Other
ZTF18ablparq,LPV
ZTF18ablpvtk,Periodic-Other
ZTF18abltiow,Periodic-Other
ZTF18abmokyi,Periodic-Other
ZTF18abntsip,LPV
ZTF18abocxfi,Periodic-Other
ZTF18aboepam,CV/Nova
ZTF18abqvoxq,QSO
ZTF18abshyrr,Periodic-Other
ZTF18abssjsb,YSO
ZTF18abstbck,LPV
ZTF18abstvcu,YSO
ZTF18abtpoyy,YSO
ZTF18abtumid,LPV
ZTF18abvpojy,E
ZTF18abvucad,E
ZTF18abycphv,QSO
ZTF18abzacuk,Periodic-Other
ZTF18abznmkw,YSO
ZTF18acahmea,AGN
ZTF18acaksce,E
ZTF18acapucu,YSO
ZTF18acdwizv,YSO
ZTF18aceizee,Periodic-Other
ZTF18acjgceu,E
ZTF18acmwlkv,Periodic-Other
ZTF18acmzyip,Periodic-Other
ZTF18acrkldv,YSO
ZTF18acrnimn,RRL
ZTF18acrxmxn,E
ZTF18acskbae,Periodic-Other
ZTF18actbfhm,E
ZTF18aczvwnb,Periodic-Other
ZTF19aablijp,Periodic-Other
ZTF19aadffdw,E
ZTF19aadoqee,LPV
ZTF19aaomwmz,QSO
ZTF19aapdvms,AGN
ZTF19aapqesu,YSO
ZTF19aargjep,LPV
ZTF19aarguzd,RRL
ZTF19aasbaqy,QSO
ZTF19aayrnsm,E
ZTF19abdkyzu,Periodic-Other
ZTF19abfiqah,QSO
ZTF19abhleva,LPV
ZTF20aauxgsi,QSO
