objectId,classALeRCE
ZTF17aabvphr,E
ZTF18abmvwmc,LPV
ZTF18acvurgi,Periodic-Other
ZTF18aayuwjg,RRL
ZTF19abmpzpx,Periodic-Other
ZTF20aawijfi,QSO
ZTF19aalcveb,QSO
ZTF18abdkckt,LPV
ZTF17aabuydq,E
ZTF19abuygzq,Periodic-Other
ZTF18abiyqhi,RRL
ZTF19aaorwaj,E
ZTF18aazlqoy,E
ZTF18abmbesu,E
ZTF19aagmukw,YSO
ZTF18acaxgns,E
ZTF18aaosbkz,CV/Nova
ZTF19aapemjc,Periodic-Other
ZTF18aaaziuz,E
ZTF18aaxlvjm,CEP
ZTF18aayegam,E
ZTF18abnzzes,Periodic-Other
ZTF19aakkgvg,Periodic-Other
ZTF18abpegnf,YSO
ZTF18abviwgv,E
ZTF18aabfdjs,E
ZTF18abuxqmo,YSO
ZTF18abdrmpt,RRL
ZTF18aazmyqw,RRL
ZTF18abkiump,YSO
ZTF18abiyceh,LPV
ZTF18aammplz,E
ZTF18abefvxw,YSO
ZTF19aawceri,LPV
ZTF18acedbil,Periodic-Other
ZTF18abpdhdn,E
ZTF18abbgded,LPV
ZTF18abfrzrs,E
ZTF18acnmmiv,E
ZTF18acdvhol,Periodic-Other
ZTF18abcpvlj,LPV
ZTF18aceeefr,E
ZTF18aaynvrw,E
ZTF18acrvahw,Periodic-Other
ZTF18aaxdpdc,LPV
ZTF18abususq,Periodic-Other
ZTF18abkhupv,LPV
ZTF18acgsbaj,Periodic-Other
ZTF18abubsbg,YSO
ZTF19aagmqew,SNIbc
ZTF17aabwfzp,E
ZTF18aazwlii,E
ZTF18ablwsff,Periodic-Other
ZTF19aatmrhp,Periodic-Other
ZTF18aaxumai,LPV
ZTF18abbkzkn,LPV
ZTF19abageyj,Periodic-Other
ZTF19abvhlyg,QSO
ZTF18aaposub,E
ZTF18adaubxn,E
ZTF18abdifba,E
ZTF18abhuhma,YSO
ZTF20abdzhic,SNIa
ZTF18aabdohx,RRL
ZTF19aapwebh,Periodic-Other
ZTF20aankgjm,QSO
ZTF19abblfyc,AGN
ZTF18abqkuzi,E
