mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
58277.37027780013,"523370271015010017",1,523370271015,20.960186,-1,523,0.0335677,19.683056,18.267876,"",19.5901,"",0.08037082,0.010614687,0.021828612,0.1122,"",299.1788992,22.4783341,0.7266667,"",0,19.7388,0.1617,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58277.37268520007,"523372684815010026",1,523372684815,20.722357,-1,523,0.038508125,19.699543,18.283745,"",19.6846,"",0.10130948,0.019811962,0.027499856,0.1478,"",299.1789248,22.4783639,0.74,"",0,19.6494,0.1813,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58278.413333300035,"524413331015010017",1,524413331015,21.118937,-1,524,0.19243714,19.767944,18.245922,"",19.6667,"",0.07938141,0.0056910403,0.019539326,0.1066,"",299.178845,22.4783098,0.72333336,"",0,19.6387,0.13,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58278.416273099836,"524416274815010021",1,524416274815,20.880142,-1,524,0.049467318,19.813866,18.254683,"",20.073,"",0.1045468,0.01654203,0.024867795,0.1917,"",299.1789279,22.4783525,0.7133333,"",0,19.8921,0.2048,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58281.3978587999,"527397854815015006",1,527397854815,20.769245,1,527,0.3030537,20.273647,17.894331,"",20.2962,"",0.17682247,0.014593863,0.019761086,0.2538,"",299.1790004,22.4783886,0.62333333,"",0,20.1224,0.2724,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58281.39935189998,"527399351015015048",1,527399351015,21.033438,1,527,0.48616892,20.10809,17.860556,"",20.3216,"",0.12038977,0.007678155,0.015190648,0.2104,"",299.1790333,22.4782956,0.62666667,"",0,20.335,0.2651,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58284.39337959979,"530393371015010016",1,530393371015,20.85999,-1,530,0.10799536,19.667221,18.272217,"",19.8092,"",0.087770164,0.014934596,0.02428538,0.1539,"",299.1788652,22.4783281,0.67333335,"",0,19.7588,0.1854,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58285.43684029998,"531436844815010032",1,531436844815,21.055634,-1,531,0.31676477,20.004286,18.213913,"",20.2726,"",0.11057461,0.011491042,0.021257207,0.2021,"",299.178837,22.4783062,0.63666666,"",0,19.9896,0.1959,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58285.4373031999,"531437301015010022",1,531437301015,21.160025,-1,531,0.31678563,20.050093,18.186422,"",19.6867,"",0.10020531,0.0033312333,0.01800623,0.1047,"",299.1788595,22.4782579,0.62,"",0,19.6373,0.1248,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58286.420347199775,"532420341015010026",1,532420341015,21.051601,-1,532,0.36476985,20.38579,18.135736,"",20.1831,"",0.14564757,0.007138568,0.018335039,0.1768,"",299.1787906,22.4783054,0.6066667,"",0,20.159,0.2167,640120110,true,true,false,"","corr_bulk_0.0.1",0,0
58292.4125926001,"538412594815010005",1,538412594815,20.978401,-1,538,0.1456366,19.844208,18.247587,"",19.8603,"",0.18461986,0.038205493,0.04242584,0.1447,"",299.1789271,22.478323,0.6,"",0,19.9432,0.1963,591120148,true,true,false,"","corr_bulk_0.0.1",0,0
58303.337013899814,"549337014815010131",2,549337014815,20.602,-1,549,0.11829046,18.435772,17.343315,"",18.5598,"",0.088307686,0.020932505,0.032286122,0.0669,"",299.1789491,22.478353,0.6066667,"",0,18.5966,0.0865,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
58304.35959490016,"550359594815010126",2,550359594815,20.625103,-1,550,0.24390711,18.76098,17.245146,"",18.7128,"",0.107951365,0.01448721,0.026723549,0.0758,"",299.178897,22.4782856,0.6666667,"",0,18.6969,0.0934,591120248,true,true,false,"","corr_bulk_0.0.1",0,0
