# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.4 on 2021-03-08 at 18:42:13
#
# Requested input R.A. = 36.351611 degrees
# Requested input Dec. = 60.841893 degrees
# Requested JD start = 2458344 days
# Requested JD end = 2459276 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 808 6 3 ZTF_g 590404652315 0 1.8941 123.607 4.61882 26.1914 1.54303e-05 0.0301415 -0.0641693 1.13127e-05 2006 30. 0.048003 0.039761 20.7871 26.1914 1 2458344.9046528 808120123 -1083.81348441406 20.196438905604 -59.6945319013381 2.65468736982529 -1087.27268945501 36.0172133446769 -30.3909001259921 1.07061403712345 0.116603528864298 17.2050001144409 0.0240000002086163 1.26499998569489 -0.0850000008940697 2458277.965220 2458347.973009 0
 1 808 6 3 ZTF_r 590470452315 0 2.1107 304.791 6.3145 26.296 9.0825e-06 0.0227313 0.0918253 6.65019e-06 1979 30. 0.041368 0.048067 20.4671 26.296 1 2458344.9704514 808120223 -8027.71491816673 27.5376920431603 -324.279282603368 37.6487398907911 -7483.87164056386 53.3101242907549 -141.329176153385 1.03509711711797 0.0808777186906953 15.1390003204346 0.0189999993890524 1.00100004673004 -0.0160000007599592 2458281.966655 2458342.968472 0
 2 808 6 3 ZTF_r 591390302315 0 1.9756 287.025 6.18411 26.2271 5.7908e-06 0.0190895 0.102196 4.28975e-06 2161 30. 0.044443 0.046945 20.5214 26.2271 1 2458345.8903009 808120223 3560.05654607694 40.5193159711378 97.7348817945175 13.9679887409254 3387.39263514465 55.9067473971991 60.9981277431019 1.0333810795019 0.0808777186906953 15.1390003204346 0.0189999993890524 1.00100004673004 -0.0160000007599592 2458281.966655 2458342.968472 0
 3 808 6 3 ZTF_g 591426932315 0 1.8773 120.479 4.40827 26.1719 1.43526e-05 0.0302734 -0.0706776 1.06219e-05 2141 30. 0.04531 0.041932 20.8379 26.1719 1 2458345.9269329 808120123 1346.71628200616 27.0405709794878 55.4006747401426 2.64243884212838 1267.7697843185 36.4234112235389 35.0408773885539 1.06146711243921 0.116603528864298 17.2050001144409 0.0240000002086163 1.26499998569489 -0.0850000008940697 2458277.965220 2458347.973009 0
 4 808 6 3 ZTF_g 592363412315 0 1.8575 115.656 4.64873 26.1305 1.61276e-05 0.0317865 -0.0756596 1.18765e-05 2097 30. 0.05288 0.045952 20.7624 26.1305 1 2458346.8634144 808120123 -660.58785054934 19.1412943668338 -38.3896436543542 2.59553124700787 -745.459763215118 36.3045287559656 -20.6718143252861 1.05538521823188 0.116603528864298 17.2050001144409 0.0240000002086163 1.26499998569489 -0.0850000008940697 2458277.965220 2458347.973009 0
 5 808 6 3 ZTF_r 592428932315 0 1.6818 290.344 6.1562 26.2379 9.5805e-06 0.0238392 0.0937017 7.07483e-06 2081 30. 0.050921 0.044404 20.807 26.2379 1 2458346.9289352 808120223 -4830.86659100246 18.3746863375998 -292.455579320535 32.8910224532086 -4740.00364552402 37.7900783563027 -126.274621550141 1.02858507148112 0.0808777186906953 15.1390003204346 0.0189999993890524 1.00100004673004 -0.0160000007599592 2458281.966655 2458342.968472 0
 6 808 6 3 ZTF_r 593426202315 0 1.8946 297.392 6.10267 26.2591 7.5395e-06 0.0209685 0.0985865 5.54927e-06 2047 30. 0.043776 0.046144 20.6391 26.2591 1 2458347.9262037 808120223 -5419.07056044878 20.1143864769713 -299.690389796578 47.3446949048454 -4897.99505133261 40.5390476399009 -121.635401344645 1.03067956914989 0.0808777186906953 15.1390003204346 0.0189999993890524 1.00100004673004 -0.0160000007599592 2458281.966655 2458342.968472 0
 7 808 6 3 ZTF_g 593473002315 0 2.1868 127.969 4.32207 26.213 1.43988e-05 0.029328 -0.049874 1.05991e-05 2032 30. 0.047155 0.047339 20.9349 26.213 1 2458347.9730093 808120123 2.41939689156194 20.2903879102558 0.132639100951526 1.80167340368174 -125.649717141836 33.1032990620326 -3.82124980893867 1.08246059039684 0.116603528864298 17.2050001144409 0.0240000002086163 1.26499998569489 -0.0850000008940697 2458277.965220 2458347.973009 0
 8 808 6 3 ZTF_g 594386822315 0 1.8792 120.041 4.43024 26.1863 1.37829e-05 0.0300118 -0.0675892 1.02257e-05 2144 30. 0.049084 0.043968 20.8658 26.1863 1 2458348.8868287 808120123 261.809473262713 19.6684151119541 14.8071266922455 1.71919058520707 179.883505179571 31.9643813897701 5.66552590923889 1.06591680467933 0.116603528864298 17.2050001144409 0.0240000002086163 1.26499998569489 -0.0850000008940697 2458277.965220 2458347.973009 0
