# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.4 on 2021-03-29 at 20:25:19
#
# Requested input R.A. = 106.88522654146342 degrees
# Requested input Dec. = 48.90021892804878 degrees
# Requested JD start = 2459090.0 days
# Requested JD end = 2459250 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 747 12 0 ZTF_g 1338489224415 0 2.4464 184.356 7.00563 26.2221 5.0949e-06 0.0315039 -0.0370999 1.0007e-05 1381 30. 0.047458 0.052904 20.1747 26.2221 1 2459092.9892245 747120144 -61.0556703076874 34.7003301320035 -1.95725403947715 1.06641459493143 -112.909446508416 57.7499401056044 -1.96831196567517 1.066291842326 1.00725298680875 17.0769998550415 0.0839999988675117 7.71299982070923 0.505999982357025 2458166.675752 2458423.941262 0
 1 747 12 0 ZTF_r 1341474124415 0 2.166 161.044 14.2495 26.2148 3.8494e-06 0.0280572 0.106812 7.24972e-06 1427 30. 0.044979 0.049289 19.4599 26.2148 1 2459095.9741204 747120244 8.8585786921323 67.4410276121429 0.146114955262202 1.03017760720239 37.030708375294 119.047696500698 0.313152739805775 1.0533488253248 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
 2 747 12 0 ZTF_g 1341485454415 0 1.8797 175.229 15.9101 26.1751 9.1135e-06 0.036939 -0.051571 2.17077e-05 1175 30. 0.039646 0.046939 19.4059 26.1751 1 2459095.9854514 747120144 -125.20927634703 61.8544383712091 -2.25175138581158 1.13262941875998 -199.955486597693 118.4646031097 -1.69926031084525 1.04797836057685 1.00725298680875 17.0769998550415 0.0839999988675117 7.71299982070923 0.505999982357025 2458166.675752 2458423.941262 0
 3 747 12 0 ZTF_r 1342445424415 0 2.3684 163.222 12.866 26.2455 4.7058e-06 0.0309407 0.0977427 8.82057e-06 1417 30. 0.06057 0.055565 19.5045 26.2455 1 2459096.9454282 747120244 -109.664767631717 65.4597767021533 -1.86357726828316 0.923328891211211 -33.1663137593043 110.348716373871 -0.302583409104343 1.05707980913734 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
 4 747 12 0 ZTF_r 1364517234415 0 1.6166 181.474 5.82409 26.3551 2.1303e-06 0.0204897 0.0935487 3.97236e-06 1367 30. 0.04238 0.062251 20.758 26.3551 1 2459119.0172338 747120244 123.486414050907 23.1180568809264 5.94186324906215 1.58096792953855 -49.5367670634212 43.9271631822844 -1.13529753407339 1.03677892208811 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
 5 747 12 0 ZTF_g 1367407604415 0 1.8733 180.634 13.7115 26.197 6.9402e-06 0.0335169 -0.0342049 1.55407e-05 1202 30. 0.043728 0.045896 19.6126 26.197 1 2459121.9076042 747120144 2076.5442917582 62.432141611687 36.9988109497869 1.42414978269626 1972.40785648539 110.32085743869 17.9992449567813 1.05220677704889 1.00725298680875 17.0769998550415 0.0839999988675117 7.71299982070923 0.505999982357025 2458166.675752 2458423.941262 0
 6 747 12 0 ZTF_r 1368489724415 0 1.5545 171.72 10.7231 26.2926 2.7456e-06 0.0234497 0.0960514 5.16379e-06 1403 30. 0.039506 0.063572 20.0758 26.2926 1 2459122.9897222 747120244 2177.73742479258 48.9806357320772 49.4579257308045 2.03515773572095 1772.40527772933 83.3025534968688 21.4200220082939 1.04158182026858 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
 7 747 12 0 ZTF_r 1370380774415 0 1.7997 164.941 15.812 26.2381 3.7089e-06 0.0272098 0.110415 6.98355e-06 1393 30. 0.05502 0.047934 19.5226 26.2381 1 2459124.8807755 747120244 2402.30866079775 76.8148470366895 34.7887190564998 1.45452509346258 2140.74477883725 138.215401699 15.5927833772368 1.04566295942653 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
 8 747 12 0 ZTF_r 1370471014415 0 1.6626 177.009 12.767 26.3218 2.7249e-06 0.0233748 0.101405 5.13506e-06 1401 30. 0.041008 0.050039 19.896 26.3218 1 2459124.9710185 747120244 2613.2105674094 58.6780653145581 49.5397055154118 2.00999413662869 2262.1403842401 101.881238515609 22.3532424915613 1.04243658493351 1.10695480529325 16.4480003356934 0.0689999982714653 7.82100009918213 0.282000005245209 2458154.687604 2458247.722141 0
