# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.4 on 2021-03-30 at 05:59:58
#
# Requested input R.A. = 245.3167016 degrees
# Requested input Dec. = 14.55266508333333 degrees
# Requested JD start = 2459200 days
# Requested JD end = 2459304 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 533 13 2 ZTF_r 1448555615015 8 4.7599 160.591 11.0032 26.1678 1.5205e-05 0.0434375 0.0989858 3.42568e-05 773 30. 0.099773 0.099911 19.015 26.1678 1 2459203.0556134 533120250 -34.409848982377 86.2277642636744 -0.443905414110013 0.950848302804646 -63.8220511217804 102.697416855859 -0.625642769557316 1.28178937532222 null null null null null 2458186.976065 2458255.813901 57
 1 533 13 2 ZTF_r 1448560325015 0 4.4208 163.086 11.7403 26.191 2.05697e-05 0.0519172 0.0878963 4.60334e-05 824 30. 0.092801 0.107137 19.028 26.191 1 2459203.0603241 533120250 -27.2704668473502 83.2422651455299 -0.36442107453737 1.00890207683919 28.1800834134653 101.674456254539 0.279026600600355 1.23279138327476 null null null null null 2458186.976065 2458255.813901 57
 2 533 13 2 ZTF_r 1448565025015 0 3.9923 165.069 13.0116 26.1924 1.50119e-05 0.0444834 0.097814 3.37517e-05 822 30. 0.082738 0.096166 19.0181 26.1924 1 2459203.0650231 533120250 85.5299319161247 100.676219046995 0.945030946550353 0.992338793474142 33.2575034126717 127.442356338315 0.26271873475677 1.20169539421246 null null null null null 2458186.976065 2458255.813901 57
 3 533 13 2 ZTF_r 1448569725015 0 4.056 168.227 16.9478 26.2138 1.82762e-05 0.0444432 0.0896403 4.33595e-05 703 30. 0.081101 0.097009 18.727 26.2138 1 2459203.0697222 533120250 44.1867373337154 123.048799081241 0.399456375303525 0.942459502913158 114.896162118455 155.029611106509 0.746115490810299 1.20352573903987 null null null null null 2458186.976065 2458255.813901 57
 4 533 13 2 ZTF_r 1448574425015 8 4.9083 171.835 26.9815 26.2417 5.39749e-05 0.0475756 0.0762869 0.000145289 335 30. 0.0948 0.09379 18.0858 26.2417 1 2459203.0744213 533120250 -246.9598125664 236.7247738244 -1.16047924527406 1.02090378551564 -431.141016400251 278.44810078706 -1.55879955627098 1.32845594839524 null null null null null 2458186.976065 2458255.813901 57
 5 533 13 2 ZTF_r 1449556185015 0 4.0236 162.599 11.0099 26.1786 1.52963e-05 0.0469982 0.0980366 3.34638e-05 893 30. 0.132852 0.106139 19.1553 26.1786 1 2459204.0561806 533120250 66.998226726391 79.7545022210317 0.934464700473231 0.954184974971703 90.0399441850187 100.324489056169 0.903531822014006 1.19641958272941 null null null null null 2458186.976065 2458255.813901 57
 6 533 13 2 ZTF_r 1449560875015 0 3.6681 164.416 10.6338 26.193 1.23274e-05 0.0437892 0.0908506 2.68881e-05 962 30. 0.1481 0.103599 19.3095 26.193 1 2459204.0608796 533120250 -6.35263662848707 65.0107355345015 -0.108698546236045 1.03512759486442 -23.1947596155579 86.2500998400532 -0.270735659429732 1.15213614045276 null null null null null 2458186.976065 2458255.813901 57
 7 533 13 2 ZTF_r 1449565575015 8 4.8557 164.381 12.0795 26.2086 2.4939e-05 0.0539116 0.097876 5.77113e-05 723 30. 0.140951 0.122134 18.9237 26.2086 1 2459204.0655787 533120250 136.011469344389 107.503324236924 1.4073704875531 0.941382703647274 219.180892653121 126.770522073139 1.74060250732726 1.28926914855979 null null null null null 2458186.976065 2458255.813901 57
 8 533 13 2 ZTF_r 1449570275015 0 3.7859 170.302 16.8723 26.2218 1.9478e-05 0.0483361 0.0974323 4.41241e-05 757 30. 0.117667 0.101326 18.8094 26.2218 1 2459204.0702778 533120250 99.6854102671691 108.302125975994 1.02388084869718 1.1237811489408 26.7457150225966 140.643775490236 0.191447142671134 1.17152064455041 null null null null null 2458186.976065 2458255.813901 57
